Date,Open,High,Low,Close,Adj Close,Volume,,log return
2014-03-31,163.220001,164.139999,162.220001,163.850006,148.680145,2494300,,0.004127923
2014-04-01,164.759995,166.289993,164.220001,165.919998,150.558456,3325500,,0.005452176
2014-04-02,165.899994,167.539993,165.729996,167.270004,151.783478,2407600,,0.003519348
2014-04-03,167.309998,167.669998,165,166.089996,150.712677,2337300,,-0.003074716
2014-04-04,167.009995,167.039993,162.850006,163.240005,148.126572,3262500,,-0.007516812
2014-04-07,162.949997,163.199997,158.440002,158.559998,143.879913,4650800,,-0.012632806
2014-04-08,158.699997,158.759995,155.479996,156.559998,142.065033,6839900,,-0.00551297
2014-04-09,157.110001,159,156.419998,158.160004,143.516907,4010000,,0.00441587
2014-04-10,158.410004,158.880005,155.809998,155.979996,141.538742,4806600,,-0.006027735
2014-04-11,154.449997,154.490005,151.649994,152.720001,138.580551,6460700,,-0.009173047
2014-04-14,154.800003,155.130005,153.419998,154.740005,140.413513,3053700,,0.005706621
2014-04-15,155,156.020004,153.100006,154.919998,140.576874,3639600,,0.000504977
2014-04-16,156.339996,157.289993,155.119995,157.220001,142.663925,3194200,,0.006400287
2014-04-17,161.029999,161.440002,157.350006,157.440002,142.863525,4525200,,0.000607193
2014-04-21,157.5,158.270004,156.229996,157.800003,143.190277,4551700,,0.000992168
2014-04-22,157.639999,160.809998,157.270004,160.460007,145.603989,4547300,,0.007259744
2014-04-23,160.259995,160.940002,159.279999,160.449997,145.594894,2040600,,-2.71286E-05
2014-04-24,161.039993,162.110001,160.589996,160.850006,145.957855,2934200,,0.001081328
2014-04-25,160.479996,160.770004,157.910004,158.240005,143.589493,3302100,,-0.00710481
2014-04-28,158.600006,158.830002,154,156.539993,142.046921,3897800,,-0.004690838
2014-04-29,157.029999,158.380005,156.639999,158.240005,143.589493,2160500,,0.004690838
2014-04-30,158.380005,160.360001,158.190002,159.820007,145.023209,2745700,,0.004314849
2014-05-01,159.800003,161,159.699997,160.369995,145.522308,2079500,,0.001492063
2014-05-02,160.460007,161.839996,158.570007,158.880005,144.170258,2561500,,-0.004053898
2014-05-05,156.5,156.899994,154.520004,156.350006,141.874496,3015700,,-0.006971344
2014-05-06,155.850006,155.850006,154.179993,154.539993,140.232025,3073100,,-0.005057126
2014-05-07,155.410004,156.309998,153.710007,155.520004,141.121323,3260900,,0.002745434
2014-05-08,155.759995,158.220001,155.199997,157.399994,142.827255,2719600,,0.00521845
2014-05-09,157.570007,157.899994,155.679993,157.199997,142.645782,2637000,,-0.000552155
2014-05-12,157.910004,159.949997,157.910004,159.550003,144.778183,2256100,,0.006444188
2014-05-13,159.559998,160.899994,159.130005,160.279999,145.440643,1901500,,0.001982664
2014-05-14,160.199997,160.889999,159.279999,159.449997,144.687485,2128700,,-0.002254818
2014-05-15,158.690002,158.960007,155.919998,156.639999,142.137665,2769300,,-0.007721791
2014-05-16,155.610001,156.970001,154.839996,156.429993,141.947067,2845600,,-0.000582753
2014-05-19,156.25,157.990005,156.009995,157.669998,143.072281,1618000,,0.003429078
2014-05-20,157.479996,157.910004,155.610001,156.350006,141.874496,2034900,,-0.003651169
2014-05-21,157.160004,159.75,157.130005,159.350006,144.596741,4226300,,0.008254173
2014-05-22,158.949997,160.300003,158.649994,159.850006,145.05043,1645100,,0.001360516
2014-05-23,159.910004,160.479996,159.509995,160.160004,145.331726,1210200,,0.000841411
2014-05-27,161.119995,163.429993,160.580002,161.770004,146.792664,3248800,,0.004343921
2014-05-28,160.910004,161.610001,159.779999,161.190002,146.765381,1855200,,-8.07258E-05
2014-05-29,161.139999,162,159.619995,160.740005,146.355667,1779200,,-0.001214083
2014-05-30,160.419998,160.639999,159.160004,159.809998,145.508804,2206300,,-0.002520272
2014-06-02,159.779999,160.199997,157.910004,160.029999,145.709167,2162500,,0.000597604
2014-06-03,159.850006,161.929993,159.279999,161.800003,147.320786,2408600,,0.004777152
2014-06-04,161.440002,162.729996,160.860001,162.389999,147.857956,2098400,,0.001580671
2014-06-05,162.720001,163.429993,161.559998,162.580002,148.030975,1859600,,0.000507901
2014-06-06,162.899994,166.259995,162.899994,166.190002,151.317886,3478100,,0.009537666
2014-06-09,166.039993,166.860001,165.639999,166,151.144928,2377500,,-0.000496687
2014-06-10,165.860001,167.259995,165.479996,166.360001,151.472702,1684500,,0.000940794
2014-06-11,165.089996,166.160004,164.690002,165.429993,150.625916,2004100,,-0.002434672
2014-06-12,165.759995,166.649994,165.020004,165.960007,151.108505,2309900,,0.001389208
2014-06-13,166.169998,167.070007,165.419998,165.889999,151.044739,1761100,,-0.000183306
2014-06-16,165.520004,166.529999,164.449997,165.850006,151.008331,1756400,,-0.000104695
2014-06-17,165.639999,168.75,165.449997,168.220001,153.166229,2450000,,0.006162112
2014-06-18,167.889999,170.100006,167.289993,169.860001,154.65947,2873200,,0.004213498
2014-06-19,170,170.160004,168.929993,169.729996,154.541122,2306900,,-0.000332457
2014-06-20,170.320007,171.080002,169.419998,169.839996,154.641296,4688200,,0.00028142
